Age of Prospect/Policyholder,37,,,,,,,,,,,,,,,,,,,
Age of the Life Assured,37,,,,,,,,,,,,,,,,,,,
Policy Term,20,,,,,,,,,,,,,,,,,,,
Premium Payment Term,10,,,,,,,,,,,,,,,,,,,
Annualised Premium,24000,,,,,,,,,,,,,,,,,,,
Frequency,1,,,,,,,,,,,,,,,,,,,
Installment Premium,24000,,,,,,,,,,,,,,,,,,,
Sum Assured,240000,,,,,,,,,,,,,,,,,,,
Policy Admin Charge Upto Year,10,,,,,,,,,,,,,,,,,,,
FMC,0.1118%,,,,,,,,,,,,,,,,,,,
Interest Rate,4.00%,0.32737%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.15%,,
,,,,,,,,,,,,,,,,,,0.26%,,
Year,Month,Age of the Life Assured,Age of Policyholder,Fund Value at the beginning of the month,Installment Premium Received,Allocation Charge,Amount Available for Investment,Policy Administration Charge,Fund Value before Mortality Charge,Investment Income,Fund Value after Investment Income,FMC,Fund at the end of the month before additions,Loyalty Addition,Booster,Return of Charge,Fund at the end of the month,IRR to PH,,
,,,,,,,,,,,,,,,,,,,,
1,1,37,37,0,24000,0,24000,100,23900,78.24,23978,26.81,23951,0,0,0,23951,"-24,000",,
1,2,37,37,23951,0,0,0,100,23851,78.08,23930,26.76,23903,0,0,0,23903,0,,
1,3,37,37,23903,0,0,0,100,23803,77.92,23881,26.70,23854,0,0,0,23854,0,,
1,4,37,37,23854,0,0,0,100,23754,77.76,23832,26.65,23805,0,0,0,23805,0,,
1,5,38,38,23805,0,0,0,100,23705,77.60,23783,26.59,23756,0,0,0,23756,0,,
1,6,38,38,23756,0,0,0,100,23656,77.44,23734,26.54,23707,0,0,0,23707,0,,
1,7,38,38,23707,0,0,0,100,23607,77.28,23684,26.48,23658,0,0,0,23658,0,,
1,8,38,38,23658,0,0,0,100,23558,77.12,23635,26.43,23609,0,0,0,23609,0,,
1,9,38,38,23609,0,0,0,100,23509,76.96,23585,26.37,23559,0,0,0,23559,0,,
1,10,38,38,23559,0,0,0,100,23459,76.80,23536,26.32,23510,0,0,0,23510,0,,
